INSERT 0 1
INSERT 0 1
INSERT 0 1
INSERT 0 1
INSERT 0 1

---

 customerid |  caseid   |  beerid
------------+-----------+-----------
   70564146 | 566784893 | 693734615
  942136591 | 888715107 | 224571418
   26493178 | 690434741 |  92636195
  340733760 |  50245740 | 344260827
  942136591 |    554879 |  92636195
   26493178 |  68688214 | 344260827
   70564146 | 555532047 |  92636195
  596793719 | 537362327 | 733993151
   26493178 | 117855399 | 415254748
  596793719 |  43084494 |  92636195
  596793719 | 863528523 |  92636195
   70564146 | 437731617 | 415254748
  596793719 | 346331765 | 415254748
  942136591 | 340531518 | 733993151
  340733760 |  56745945 | 733993151
  340733760 | 821992242 | 344260827
  942136591 | 612022941 |  92636195
  958685071 | 163974325 | 224571418
   26493178 | 266556716 | 733993151
  340733760 | 217047113 | 415254748
(20 rows)
